"","Nama.Latin","closestMatch","ANJA","ANJAS","SMM","KAL","PMP","PPM","ANJAP"
"436","Motacilla tschutschensis","0",0,0,0,0,0,0,0
"437","Muntiacus muntjak","0",0,0,0,0,0,0,0
"438","Musca domestica","0",0,0,0,0,0,0,0
"439","Muscicapa griseisticta","0",0,0,0,0,0,0,0
"440","Mustela nudipes","0",0,0,0,0,0,0,0
"441","Mycalesis Persus Caesonia","0",0,0,0,0,0,0,0
"442","Mycalesis visala","0",0,0,0,0,0,0,0
"443","Myiagra alecto","0",0,0,0,0,2,0,2
"444","Mysomela ningrita","0",0,0,0,0,0,0,0
"445","Naja sputratrix","0",9,0,0,0,0,0,0
"446","Naja sumatrana","0",0,6,1,5,0,0,0
"447","Nannosciurus melanotis","0",0,0,0,13,0,0,0
"448","Nectarinia aspasia","0",0,0,0,0,0,2,18
"449","Nectarinia jugularis","0",0,0,1,0,0,1,3
"450","Nephila inaurata","0",0,0,0,0,0,0,0
"451","Neptis hylas","0",0,0,0,2,0,0,0
"452","Nettapus pulchellus","0",0,0,0,0,0,2,0
"453","Neurothemis fluctuans","0",0,0,0,0,0,0,0
"454","Neurothemis stigmatizans","0",0,0,0,0,0,0,0
"455","Neurothemis terminata","Neurothemis terminata",0,0,0,0,0,0,1
"456","Neurothemis stigmatizans","0",0,0,0,0,0,0,0
"457","Neurothemis terminata","0",0,0,0,0,0,0,0
"458","Ninox connivens","0",0,0,0,0,0,0,0
"459","Ninox rufa","0",0,0,0,0,0,0,0
"460","Nisaetus cirrhatus","0",0,0,0,4,0,0,0
"461","Nisaetus nanus","0",0,0,0,0,0,0,0
"462","Nucras caesicaudata","0",0,0,0,0,0,0,0
"463","Nuri","0",0,0,0,0,2,0,0
"464","Nycticorax caledonicus","0",0,0,0,0,0,0,2
"465","Nyctormis amictus","0",0,0,0,0,0,0,0
"466","Nyticorax nyticorax","0",0,0,0,0,0,0,0
"467","Occidozyga sumatrana","0",0,0,0,0,0,0,0
"468","Oecophylla Sp","0",0,0,0,0,0,0,0
"469","Oligodon octolineatus","0",0,0,0,0,0,0,0
"470","Onichoprion anaethetus","0",0,0,0,0,0,0,0
"471","Ophiophagus hannah","0",0,0,0,0,0,0,0
"472","Ophiophagus sp.","0",0,0,0,0,0,0,0
"473","Oreochromis niloticus","0",0,0,0,0,0,0,0
"474","Oriens Gola","0",0,0,0,0,0,0,0
"475","Oriolus chinensis","0",0,0,0,0,0,1,0
"476","Oriolus sp","0",0,0,0,0,0,0,0
"477","Orlitia borneensis","0",0,0,0,2,0,0,0
"478","Orthetrum sabina","0",0,0,0,0,0,0,0
"479","Orthotomus ruficeps","0",0,0,0,0,0,0,0
"480","Orthotomus sp","0",0,0,0,0,0,0,0
"481","Oryctes Rhinoceros","0",0,0,0,1,0,0,0
"482","Oryga Deffinita","0",0,0,0,0,0,0,0
"483","Orygyia Definta","0",0,0,0,0,0,0,0
"484","Otus lempiji","0",0,0,0,0,0,0,0
"485","Oxya serville","0",0,0,0,0,0,0,0
"486","Oxya Yezoensis","0",0,0,0,0,0,0,0
"487","Papilio demoleus","0",0,0,0,0,0,0,0
"488","Papilio machaon","0",0,0,0,0,0,0,0
"489","papilio memnon","0",0,0,0,0,0,0,0
"490","Paradoxurus hermaphroditus","0",0,0,0,0,0,0,0
"491","Paradoxurus sp","0",0,0,0,0,0,0,0
"492","Parambassis siamensis","0",0,0,0,0,0,0,0
"493","Parias hageni","0",0,0,0,0,0,0,0
"494","Parus major","0",0,1,0,0,0,0,0
"495","Passer domesticus","0",0,0,2,0,0,0,0
"496","Passer montanus","0",0,0,1,0,0,0,0
"497","Paysandisia archon","0",0,0,0,0,0,0,0
"498","Pelargopsis Capensis","0",0,0,6,7,0,0,0
"499","Pellorneum capistratum","0",0,0,0,0,0,0,0
"500","Peltops blainvillii","0",0,0,0,0,0,0,0
"501","Peltops montanus","0",0,0,0,0,0,0,0
"502","Perameles nasuta","0",0,0,0,0,0,0,6
"503","Pericrocotus miniatus","0",0,0,0,0,0,0,0
"504","Petaurus breviceps","0",0,0,0,0,0,0,0
"505","Phaenicophaeus curvirostris","0",0,0,0,0,0,0,0
"506","Phaenicophaeus diardi","0",0,0,0,0,0,0,0
"507","Phalacrocorax sulcirostris","0",0,0,0,0,0,0,0
"508","Phalanger orientalis","0",0,0,0,0,0,0,0
"509","Philemon buceroides","0",0,0,0,0,2,3,12
"510","Phyllergates cucullatus","0",0,0,0,0,0,0,0
"511","Phylloscopus trivirgatus","0",0,0,0,0,0,0,0
"512","Phyton","0",0,0,0,0,0,0,0
"513","Phyton molurus","0",1,0,0,0,0,0,0
"514","Picidae","0",0,0,0,0,0,0,0
"515","Picus puniceus","0",0,0,0,1,0,0,0
"516","Pitta erythrogaster macklotii","0",0,0,0,0,0,0,0
"517","Pitta moluccensis","0",0,0,14,0,0,0,1
"518","Pitta sordida","0",0,0,4,0,0,0,0
"519","Pityriasis gymnocephala ","0",0,0,0,0,0,0,0
"520","Platylpornia flavida","0",0,0,0,0,0,0,0
"521","Ploceus montanus","0",0,0,0,0,0,0,0
"522","Pluvialis fulva","0",0,0,0,0,0,0,1
"523","Podargus papuensis","0",0,0,0,0,0,0,1
"524","Pongo pygmaeus wurmbii","0",0,0,0,15,0,0,0
"525","Presbytis frontata","0",0,0,0,0,0,0,0
"526","Presbytis melalophos","0",0,0,0,0,0,0,0
"527","Presbytis rubicunda","0",0,0,0,17,0,0,0
"528","Prinia atrogularis","0",0,1,0,0,0,0,0
"529","Prinia familiaris","0",0,0,0,0,0,0,0
"530","Prinia flaviventris","0",0,0,0,0,0,0,0
"531","Prinia superciliaris","0",0,0,0,0,0,0,0
"532","Prionailurus bengalensis","0",8,0,0,0,0,0,0
"533","Prionodon Linsang","0",0,0,0,0,0,0,0
"534","Probosciger aterimus","0",0,0,0,0,2,5,5
"535","Pseudorectes ferrugineus","0",0,0,0,0,0,0,1
"536","Psittacula alexandri","0",0,0,0,0,0,0,0
"537","Psittacula longicauda","0",64,0,0,3,0,0,0
"538","Psittaculata sp","0",0,0,0,0,0,0,0
"539","Psittaculirostris desmarestii","0",0,0,0,0,0,0,2
"540","Pteropus vampyrus","0",0,0,1,0,0,0,55
"541","Ptilinopsus coronulatus","Ptilinopus coronulatus",0,0,0,0,0,0,0
"542","Ptilinopus aurantifrons","0",0,0,0,0,0,0,2
"543","Ptilinopus coronulatus","0",0,0,0,0,0,8,0
"544","Ptilinopus iozonus","0",0,0,0,0,0,0,28
"545","Ptilinopus magnificus","0",0,0,0,0,0,0,0
"546","Ptilinopus nanus","0",0,0,0,0,0,0,1
"547","Ptilinopus pulchellus","0",0,0,0,0,0,0,0
"548","Pycnonotus aurigaster","0",72,0,0,0,0,0,0
"549","Pycnonotus erythrophthalmos","0",0,0,0,0,0,0,0
"550","Pycnonotus Eutilotus","0",0,0,0,0,0,0,0
"551","Pycnonotus goiavier","0",0,0,2,0,0,0,0
"552","Pycnonotus melanicterus","0",0,0,0,0,0,0,0
"553","Pycnopygius ixoides","0",0,0,0,0,0,0,0
"554","Pyrrhocoridae","0",0,0,0,0,0,0,1
"555","Python breitensteini","0",0,0,0,0,0,0,0
"556","Python curtus","0",0,0,0,0,0,0,0
"557","Python reticulatus","0",0,0,2,0,0,0,0
"558","Rallina fasciata","0",0,0,0,0,0,0,0
"559","Rallus torquatus","0",0,0,0,0,0,0,0
"560","Ramsayornis modestus","0",0,0,0,0,0,0,2
"561","Rangkong","0",0,0,0,0,0,0,0
"562","Rangkong putih","0",0,0,0,0,0,0,0
"563","Rattus tiomanicus","0",0,0,0,0,0,0,0
"564","Ratufa affinis","0",0,0,2,0,0,0,0
"565","Ratufa bicolor","0",0,0,0,0,0,0,0
"566","Rayap","0",0,0,0,0,0,0,0
"567","Rhinoplax vigil","0",0,0,0,0,0,0,0
"568","Rhipidura albolimbata","0",0,0,0,0,0,0,0
"569","Rhipidura albolimbata","0",0,0,0,0,0,0,1
"570","Rhipidura atra","0",0,0,0,0,0,0,1
