Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Otus lempiji,4,0,0,0,0,0,0
Oxya serville,0,0,0,0,0,0,0
Oxya Yezoensis,0,0,0,0,0,0,0
Papilio demoleus,0,0,0,0,0,0,0
papilio memnon,0,1,0,0,0,0,0
Paradoxurus hermaphroditus,0,0,0,0,0,0,0
Paradoxurus sp,1,0,0,0,0,0,0
Parambassis siamensis,0,0,0,0,0,0,0
Parias hageni,0,0,0,0,0,0,0
Parus major,0,5,0,0,0,0,0
Passer domesticus,2,1,4,0,0,0,0
Passer montanus,0,1,0,0,0,0,0
Paysandisia archon,0,0,0,0,0,0,0
Pelargopsis Capensis,0,3,0,5,0,0,0
Pellorneum capistratum,0,0,0,0,0,0,0
Peltops blainvillii,0,0,0,0,0,4,0
Peltops montanus,0,0,0,0,0,0,0
Perameles nasuta,0,0,1,0,2,0,0
Pericrocotus miniatus,0,0,0,0,0,0,0
Petaurus breviceps,0,0,0,0,0,0,2
Phaenicophaeus curvirostris,0,0,0,0,0,0,0
Phaenicophaeus diardi,0,0,0,0,0,0,0
Phalacrocorax sulcirostris,0,0,0,0,0,0,0
Phalanger orientalis,0,0,0,0,3,0,3
Philemon buceroides,0,0,0,0,3,0,25
Phyllergates cucullatus,0,1,0,0,0,0,0
Phylloscopus trivirgatus,0,0,0,0,0,0,0
Phyton,0,0,0,0,0,0,0
Picidae,0,0,0,0,0,0,0
Picus puniceus,0,0,0,1,0,0,0
Pitta moluccensis,0,0,14,0,0,0,0
Pitta sordida,0,0,5,0,0,0,2
Pityriasis gymnocephala ,0,0,0,0,0,0,0
Platylpornia flavida,0,0,0,0,0,0,0
Ploceus montanus,0,0,0,0,0,0,0
Pluvialis fulva,0,0,0,0,0,0,8
Podargus papuensis,0,0,0,0,0,1,1
Pongo pygmaeus wurmbii,0,0,0,7,0,0,0
Presbytis frontata,0,0,0,0,0,0,0
Presbytis melalophos,0,0,0,0,0,0,0
Presbytis rubicunda,0,0,0,7,0,0,0
Prinia atrogularis,0,1,0,0,0,0,0
Prinia familiaris,0,3,0,0,0,0,0
Prinia flaviventris,0,0,0,0,0,0,0
Prinia superciliaris,0,0,0,0,0,0,0
Prionailurus bengalensis,0,0,0,0,0,0,0
